,condition,model,concept,domain,dimension,unit
0,avg,llama2_7b_chat,person,colour,,
1,avg,llama2_7b_chat,person,shape,,
2,avg,llama2_7b_chat,person,location,,
3,avg,llama2_7b_chat,person,texture,,
4,avg,llama2_7b_chat,person,material,,
5,avg,llama2_7b_chat,person,scenario,,
6,avg,llama2_7b_chat,person,pattern,,
7,avg,llama2_7b_chat,person,context,,
8,avg,llama2_7b_chat,person,disposition,,
9,avg,llama2_7b_chat,person,function,,
10,avg,llama2_7b_chat,bicycle,colour,,
11,avg,llama2_7b_chat,bicycle,shape,,
12,avg,llama2_7b_chat,bicycle,location,,
13,avg,llama2_7b_chat,bicycle,texture,,
14,avg,llama2_7b_chat,bicycle,material,,
15,avg,llama2_7b_chat,bicycle,scenario,,
16,avg,llama2_7b_chat,bicycle,pattern,,
17,avg,llama2_7b_chat,bicycle,context,,
18,avg,llama2_7b_chat,bicycle,disposition,,
19,avg,llama2_7b_chat,bicycle,function,,
20,avg,llama2_7b_chat,car,colour,,
21,avg,llama2_7b_chat,car,shape,,
22,avg,llama2_7b_chat,car,location,,
23,avg,llama2_7b_chat,car,texture,,
24,avg,llama2_7b_chat,car,material,,
25,avg,llama2_7b_chat,car,scenario,,
26,avg,llama2_7b_chat,car,pattern,,
27,avg,llama2_7b_chat,car,context,,
28,avg,llama2_7b_chat,car,disposition,,
29,avg,llama2_7b_chat,car,function,,
30,avg,llama2_7b_chat,motorcycle,colour,,
31,avg,llama2_7b_chat,motorcycle,shape,,
32,avg,llama2_7b_chat,motorcycle,location,,
33,avg,llama2_7b_chat,motorcycle,texture,,
34,avg,llama2_7b_chat,motorcycle,material,,
35,avg,llama2_7b_chat,motorcycle,scenario,,
36,avg,llama2_7b_chat,motorcycle,pattern,,
37,avg,llama2_7b_chat,motorcycle,context,,
38,avg,llama2_7b_chat,motorcycle,disposition,,
39,avg,llama2_7b_chat,motorcycle,function,,
40,avg,llama2_7b_chat,airplane,colour,,
41,avg,llama2_7b_chat,airplane,shape,,
42,avg,llama2_7b_chat,airplane,location,,
43,avg,llama2_7b_chat,airplane,texture,,
44,avg,llama2_7b_chat,airplane,material,,
45,avg,llama2_7b_chat,airplane,scenario,,
46,avg,llama2_7b_chat,airplane,pattern,,
47,avg,llama2_7b_chat,airplane,context,,
48,avg,llama2_7b_chat,airplane,disposition,,
49,avg,llama2_7b_chat,airplane,function,,
50,avg,llama2_7b_chat,bus,colour,,
51,avg,llama2_7b_chat,bus,shape,,
52,avg,llama2_7b_chat,bus,location,,
53,avg,llama2_7b_chat,bus,texture,,
54,avg,llama2_7b_chat,bus,material,,
55,avg,llama2_7b_chat,bus,scenario,,
56,avg,llama2_7b_chat,bus,pattern,,
57,avg,llama2_7b_chat,bus,context,,
58,avg,llama2_7b_chat,bus,disposition,,
59,avg,llama2_7b_chat,bus,function,,
60,avg,llama2_7b_chat,train,colour,,
61,avg,llama2_7b_chat,train,shape,,
62,avg,llama2_7b_chat,train,location,,
63,avg,llama2_7b_chat,train,texture,,
64,avg,llama2_7b_chat,train,material,,
65,avg,llama2_7b_chat,train,scenario,,
66,avg,llama2_7b_chat,train,pattern,,
67,avg,llama2_7b_chat,train,context,,
68,avg,llama2_7b_chat,train,disposition,,
69,avg,llama2_7b_chat,train,function,,
70,avg,llama2_7b_chat,truck,colour,,
71,avg,llama2_7b_chat,truck,shape,,
72,avg,llama2_7b_chat,truck,location,,
73,avg,llama2_7b_chat,truck,texture,,
74,avg,llama2_7b_chat,truck,material,,
75,avg,llama2_7b_chat,truck,scenario,,
76,avg,llama2_7b_chat,truck,pattern,,
77,avg,llama2_7b_chat,truck,context,,
78,avg,llama2_7b_chat,truck,disposition,,
79,avg,llama2_7b_chat,truck,function,,
80,avg,llama2_7b_chat,boat,colour,,
81,avg,llama2_7b_chat,boat,shape,,
82,avg,llama2_7b_chat,boat,location,,
83,avg,llama2_7b_chat,boat,texture,,
84,avg,llama2_7b_chat,boat,material,,
85,avg,llama2_7b_chat,boat,scenario,,
86,avg,llama2_7b_chat,boat,pattern,,
87,avg,llama2_7b_chat,boat,context,,
88,avg,llama2_7b_chat,boat,disposition,,
89,avg,llama2_7b_chat,boat,function,,
90,avg,llama2_7b_chat,traffic light,colour,,
91,avg,llama2_7b_chat,traffic light,shape,,
92,avg,llama2_7b_chat,traffic light,location,,
93,avg,llama2_7b_chat,traffic light,texture,,
94,avg,llama2_7b_chat,traffic light,material,,
95,avg,llama2_7b_chat,traffic light,scenario,,
96,avg,llama2_7b_chat,traffic light,pattern,,
97,avg,llama2_7b_chat,traffic light,context,,
98,avg,llama2_7b_chat,traffic light,disposition,,
99,avg,llama2_7b_chat,traffic light,function,,
100,avg,llama2_7b_chat,fire hydrant,colour,,
101,avg,llama2_7b_chat,fire hydrant,shape,,
102,avg,llama2_7b_chat,fire hydrant,location,,
103,avg,llama2_7b_chat,fire hydrant,texture,,
104,avg,llama2_7b_chat,fire hydrant,material,,
105,avg,llama2_7b_chat,fire hydrant,scenario,,
106,avg,llama2_7b_chat,fire hydrant,pattern,,
107,avg,llama2_7b_chat,fire hydrant,context,,
108,avg,llama2_7b_chat,fire hydrant,disposition,,
109,avg,llama2_7b_chat,fire hydrant,function,,
110,avg,llama2_7b_chat,stop sign,colour,,
111,avg,llama2_7b_chat,stop sign,shape,,
112,avg,llama2_7b_chat,stop sign,location,,
113,avg,llama2_7b_chat,stop sign,texture,,
114,avg,llama2_7b_chat,stop sign,material,,
115,avg,llama2_7b_chat,stop sign,scenario,,
116,avg,llama2_7b_chat,stop sign,pattern,,
117,avg,llama2_7b_chat,stop sign,context,,
118,avg,llama2_7b_chat,stop sign,disposition,,
119,avg,llama2_7b_chat,stop sign,function,,
120,avg,llama2_7b_chat,parking meter,colour,,
121,avg,llama2_7b_chat,parking meter,shape,,
122,avg,llama2_7b_chat,parking meter,location,,
123,avg,llama2_7b_chat,parking meter,texture,,
124,avg,llama2_7b_chat,parking meter,material,,
125,avg,llama2_7b_chat,parking meter,scenario,,
126,avg,llama2_7b_chat,parking meter,pattern,,
127,avg,llama2_7b_chat,parking meter,context,,
128,avg,llama2_7b_chat,parking meter,disposition,,
129,avg,llama2_7b_chat,parking meter,function,,
130,avg,llama2_7b_chat,bench,colour,,
131,avg,llama2_7b_chat,bench,shape,,
132,avg,llama2_7b_chat,bench,location,,
133,avg,llama2_7b_chat,bench,texture,,
134,avg,llama2_7b_chat,bench,material,,
135,avg,llama2_7b_chat,bench,scenario,,
136,avg,llama2_7b_chat,bench,pattern,,
137,avg,llama2_7b_chat,bench,context,,
138,avg,llama2_7b_chat,bench,disposition,,
139,avg,llama2_7b_chat,bench,function,,
140,avg,llama2_7b_chat,bird,colour,,
141,avg,llama2_7b_chat,bird,shape,,
142,avg,llama2_7b_chat,bird,location,,
143,avg,llama2_7b_chat,bird,texture,,
144,avg,llama2_7b_chat,bird,material,,
145,avg,llama2_7b_chat,bird,scenario,,
146,avg,llama2_7b_chat,bird,pattern,,
147,avg,llama2_7b_chat,bird,context,,
148,avg,llama2_7b_chat,bird,disposition,,
149,avg,llama2_7b_chat,bird,function,,
150,avg,llama2_7b_chat,cat,colour,,
151,avg,llama2_7b_chat,cat,shape,,
152,avg,llama2_7b_chat,cat,location,,
153,avg,llama2_7b_chat,cat,texture,,
154,avg,llama2_7b_chat,cat,material,,
155,avg,llama2_7b_chat,cat,scenario,,
156,avg,llama2_7b_chat,cat,pattern,,
157,avg,llama2_7b_chat,cat,context,,
158,avg,llama2_7b_chat,cat,disposition,,
159,avg,llama2_7b_chat,cat,function,,
160,avg,llama2_7b_chat,dog,colour,,
161,avg,llama2_7b_chat,dog,shape,,
162,avg,llama2_7b_chat,dog,location,,
163,avg,llama2_7b_chat,dog,texture,,
164,avg,llama2_7b_chat,dog,material,,
165,avg,llama2_7b_chat,dog,scenario,,
166,avg,llama2_7b_chat,dog,pattern,,
167,avg,llama2_7b_chat,dog,context,,
168,avg,llama2_7b_chat,dog,disposition,,
169,avg,llama2_7b_chat,dog,function,,
170,avg,llama2_7b_chat,horse,colour,,
171,avg,llama2_7b_chat,horse,shape,,
172,avg,llama2_7b_chat,horse,location,,
173,avg,llama2_7b_chat,horse,texture,,
174,avg,llama2_7b_chat,horse,material,,
175,avg,llama2_7b_chat,horse,scenario,,
176,avg,llama2_7b_chat,horse,pattern,,
177,avg,llama2_7b_chat,horse,context,,
178,avg,llama2_7b_chat,horse,disposition,,
179,avg,llama2_7b_chat,horse,function,,
180,avg,llama2_7b_chat,sheep,colour,,
181,avg,llama2_7b_chat,sheep,shape,,
182,avg,llama2_7b_chat,sheep,location,,
183,avg,llama2_7b_chat,sheep,texture,,
184,avg,llama2_7b_chat,sheep,material,,
185,avg,llama2_7b_chat,sheep,scenario,,
186,avg,llama2_7b_chat,sheep,pattern,,
187,avg,llama2_7b_chat,sheep,context,,
188,avg,llama2_7b_chat,sheep,disposition,,
189,avg,llama2_7b_chat,sheep,function,,
190,avg,llama2_7b_chat,cow,colour,,
191,avg,llama2_7b_chat,cow,shape,,
192,avg,llama2_7b_chat,cow,location,,
193,avg,llama2_7b_chat,cow,texture,,
194,avg,llama2_7b_chat,cow,material,,
195,avg,llama2_7b_chat,cow,scenario,,
196,avg,llama2_7b_chat,cow,pattern,,
197,avg,llama2_7b_chat,cow,context,,
198,avg,llama2_7b_chat,cow,disposition,,
199,avg,llama2_7b_chat,cow,function,,
200,avg,llama2_7b_chat,elephant,colour,,
201,avg,llama2_7b_chat,elephant,shape,,
202,avg,llama2_7b_chat,elephant,location,,
203,avg,llama2_7b_chat,elephant,texture,,
204,avg,llama2_7b_chat,elephant,material,,
205,avg,llama2_7b_chat,elephant,scenario,,
206,avg,llama2_7b_chat,elephant,pattern,,
207,avg,llama2_7b_chat,elephant,context,,
208,avg,llama2_7b_chat,elephant,disposition,,
209,avg,llama2_7b_chat,elephant,function,,
210,avg,llama2_7b_chat,bear,colour,,
211,avg,llama2_7b_chat,bear,shape,,
212,avg,llama2_7b_chat,bear,location,,
213,avg,llama2_7b_chat,bear,texture,,
214,avg,llama2_7b_chat,bear,material,,
215,avg,llama2_7b_chat,bear,scenario,,
216,avg,llama2_7b_chat,bear,pattern,,
217,avg,llama2_7b_chat,bear,context,,
218,avg,llama2_7b_chat,bear,disposition,,
219,avg,llama2_7b_chat,bear,function,,
220,avg,llama2_7b_chat,zebra,colour,,
221,avg,llama2_7b_chat,zebra,shape,,
222,avg,llama2_7b_chat,zebra,location,,
223,avg,llama2_7b_chat,zebra,texture,,
224,avg,llama2_7b_chat,zebra,material,,
225,avg,llama2_7b_chat,zebra,scenario,,
226,avg,llama2_7b_chat,zebra,pattern,,
227,avg,llama2_7b_chat,zebra,context,,
228,avg,llama2_7b_chat,zebra,disposition,,
229,avg,llama2_7b_chat,zebra,function,,
230,avg,llama2_7b_chat,giraffe,colour,,
231,avg,llama2_7b_chat,giraffe,shape,,
232,avg,llama2_7b_chat,giraffe,location,,
233,avg,llama2_7b_chat,giraffe,texture,,
234,avg,llama2_7b_chat,giraffe,material,,
235,avg,llama2_7b_chat,giraffe,scenario,,
236,avg,llama2_7b_chat,giraffe,pattern,,
237,avg,llama2_7b_chat,giraffe,context,,
238,avg,llama2_7b_chat,giraffe,disposition,,
239,avg,llama2_7b_chat,giraffe,function,,
240,avg,llama2_7b_chat,backpack,colour,,
241,avg,llama2_7b_chat,backpack,shape,,
242,avg,llama2_7b_chat,backpack,location,,
243,avg,llama2_7b_chat,backpack,texture,,
244,avg,llama2_7b_chat,backpack,material,,
245,avg,llama2_7b_chat,backpack,scenario,,
246,avg,llama2_7b_chat,backpack,pattern,,
247,avg,llama2_7b_chat,backpack,context,,
248,avg,llama2_7b_chat,backpack,disposition,,
249,avg,llama2_7b_chat,backpack,function,,
250,avg,llama2_7b_chat,umbrella,colour,,
251,avg,llama2_7b_chat,umbrella,shape,,
252,avg,llama2_7b_chat,umbrella,location,,
253,avg,llama2_7b_chat,umbrella,texture,,
254,avg,llama2_7b_chat,umbrella,material,,
255,avg,llama2_7b_chat,umbrella,scenario,,
256,avg,llama2_7b_chat,umbrella,pattern,,
257,avg,llama2_7b_chat,umbrella,context,,
258,avg,llama2_7b_chat,umbrella,disposition,,
259,avg,llama2_7b_chat,umbrella,function,,
260,avg,llama2_7b_chat,handbag,colour,,
261,avg,llama2_7b_chat,handbag,shape,,
262,avg,llama2_7b_chat,handbag,location,,
263,avg,llama2_7b_chat,handbag,texture,,
264,avg,llama2_7b_chat,handbag,material,,
265,avg,llama2_7b_chat,handbag,scenario,,
266,avg,llama2_7b_chat,handbag,pattern,,
267,avg,llama2_7b_chat,handbag,context,,
268,avg,llama2_7b_chat,handbag,disposition,,
269,avg,llama2_7b_chat,handbag,function,,
270,avg,llama2_7b_chat,tie,colour,,
271,avg,llama2_7b_chat,tie,shape,,
272,avg,llama2_7b_chat,tie,location,,
273,avg,llama2_7b_chat,tie,texture,,
274,avg,llama2_7b_chat,tie,material,,
275,avg,llama2_7b_chat,tie,scenario,,
276,avg,llama2_7b_chat,tie,pattern,,
277,avg,llama2_7b_chat,tie,context,,
278,avg,llama2_7b_chat,tie,disposition,,
279,avg,llama2_7b_chat,tie,function,,
280,avg,llama2_7b_chat,suitcase,colour,,
281,avg,llama2_7b_chat,suitcase,shape,,
282,avg,llama2_7b_chat,suitcase,location,,
283,avg,llama2_7b_chat,suitcase,texture,,
284,avg,llama2_7b_chat,suitcase,material,,
285,avg,llama2_7b_chat,suitcase,scenario,,
286,avg,llama2_7b_chat,suitcase,pattern,,
287,avg,llama2_7b_chat,suitcase,context,,
288,avg,llama2_7b_chat,suitcase,disposition,,
289,avg,llama2_7b_chat,suitcase,function,,
290,avg,llama2_7b_chat,frisbee,colour,,
291,avg,llama2_7b_chat,frisbee,shape,,
292,avg,llama2_7b_chat,frisbee,location,,
293,avg,llama2_7b_chat,frisbee,texture,,
294,avg,llama2_7b_chat,frisbee,material,,
295,avg,llama2_7b_chat,frisbee,scenario,,
296,avg,llama2_7b_chat,frisbee,pattern,,
297,avg,llama2_7b_chat,frisbee,context,,
298,avg,llama2_7b_chat,frisbee,disposition,,
299,avg,llama2_7b_chat,frisbee,function,,
300,avg,llama2_7b_chat,skis,colour,,
301,avg,llama2_7b_chat,skis,shape,,
302,avg,llama2_7b_chat,skis,location,,
303,avg,llama2_7b_chat,skis,texture,,
304,avg,llama2_7b_chat,skis,material,,
305,avg,llama2_7b_chat,skis,scenario,,
306,avg,llama2_7b_chat,skis,pattern,,
307,avg,llama2_7b_chat,skis,context,,
308,avg,llama2_7b_chat,skis,disposition,,
309,avg,llama2_7b_chat,skis,function,,
310,avg,llama2_7b_chat,sports ball,colour,,
311,avg,llama2_7b_chat,sports ball,shape,,
312,avg,llama2_7b_chat,sports ball,location,,
313,avg,llama2_7b_chat,sports ball,texture,,
314,avg,llama2_7b_chat,sports ball,material,,
315,avg,llama2_7b_chat,sports ball,scenario,,
316,avg,llama2_7b_chat,sports ball,pattern,,
317,avg,llama2_7b_chat,sports ball,context,,
318,avg,llama2_7b_chat,sports ball,disposition,,
319,avg,llama2_7b_chat,sports ball,function,,
320,avg,llama2_7b_chat,kite,colour,,
321,avg,llama2_7b_chat,kite,shape,,
322,avg,llama2_7b_chat,kite,location,,
323,avg,llama2_7b_chat,kite,texture,,
324,avg,llama2_7b_chat,kite,material,,
325,avg,llama2_7b_chat,kite,scenario,,
326,avg,llama2_7b_chat,kite,pattern,,
327,avg,llama2_7b_chat,kite,context,,
328,avg,llama2_7b_chat,kite,disposition,,
329,avg,llama2_7b_chat,kite,function,,
330,avg,llama2_7b_chat,baseball bat,colour,,
331,avg,llama2_7b_chat,baseball bat,shape,,
332,avg,llama2_7b_chat,baseball bat,location,,
333,avg,llama2_7b_chat,baseball bat,texture,,
334,avg,llama2_7b_chat,baseball bat,material,,
335,avg,llama2_7b_chat,baseball bat,scenario,,
336,avg,llama2_7b_chat,baseball bat,pattern,,
337,avg,llama2_7b_chat,baseball bat,context,,
338,avg,llama2_7b_chat,baseball bat,disposition,,
339,avg,llava_7b_standard,horse,colour,,
340,avg,llava_7b_standard,horse,shape,,
341,avg,llava_7b_standard,horse,location,,
342,avg,llava_7b_standard,horse,texture,,
343,avg,llava_7b_standard,horse,material,,
344,avg,llava_7b_standard,horse,scenario,,
345,avg,llava_7b_standard,horse,pattern,,
346,avg,llava_7b_standard,horse,context,,
347,avg,llava_7b_standard,horse,disposition,,
348,avg,llava_7b_standard,horse,function,,
349,avg,llava_7b_standard,horse,size,length,centimeters
350,avg,llava_7b_standard,horse,size,length,millimeters
351,avg,llava_7b_standard,horse,size,length,inches
352,avg,llava_7b_standard,horse,size,length,feet
353,avg,llava_7b_standard,horse,size,width,meters
354,avg,llava_7b_standard,horse,size,width,centimeters
355,avg,llava_7b_standard,horse,size,width,millimeters
356,avg,llava_7b_standard,horse,size,width,inches
357,avg,llava_7b_standard,horse,size,width,feet
358,avg,llava_7b_standard,horse,size,height,meters
359,avg,llava_7b_standard,horse,size,height,centimeters
360,avg,llava_7b_standard,horse,size,height,millimeters
361,avg,llava_7b_standard,horse,size,height,inches
362,avg,llava_7b_standard,horse,size,height,feet
363,avg,llava_7b_standard,horse,weight,weight,kilograms
364,avg,llava_7b_standard,horse,weight,weight,grams
365,avg,llava_7b_standard,horse,weight,weight,pounds
366,avg,llava_7b_standard,horse,weight,weight,ounces
367,avg,llava_7b_standard,horse,temperature,temperature,celsius
368,avg,llava_7b_standard,horse,temperature,temperature,fahrenheit
369,avg,llava_7b_standard,horse,temperature,temperature,kelvin
370,avg,llava_7b_standard,horse_monetary,value,value,US dollars
371,avg,llava_7b_standard,horse_monetary,value,value,euros
372,avg,llava_7b_standard,horse_monetary,value,value,pounds
373,ranges,llava_7b_standard,wine glass,size,length,millimeters
374,ranges,llava_7b_standard,wine glass,size,length,inches
375,ranges,llava_7b_standard,wine glass,size,length,feet
376,ranges,llava_7b_standard,wine glass,size,width,meters
377,ranges,llava_7b_standard,wine glass,size,width,centimeters
378,ranges,llava_7b_standard,wine glass,size,width,millimeters
379,ranges,llava_7b_standard,wine glass,size,width,inches
380,ranges,llava_7b_standard,wine glass,size,width,feet
381,ranges,llava_7b_standard,wine glass,size,height,meters
382,ranges,llava_7b_standard,wine glass,size,height,centimeters
383,ranges,llava_7b_standard,wine glass,size,height,millimeters
384,ranges,llava_7b_standard,wine glass,size,height,inches
385,ranges,llava_7b_standard,wine glass,size,height,feet
386,ranges,llava_7b_standard,wine glass,weight,weight,kilograms
387,ranges,llava_7b_standard,wine glass,weight,weight,grams
388,ranges,llava_7b_standard,wine glass,weight,weight,pounds
389,ranges,llava_7b_standard,wine glass,weight,weight,ounces
390,ranges,llava_7b_standard,wine glass,temperature,temperature,celsius
391,ranges,llava_7b_standard,wine glass,temperature,temperature,fahrenheit
392,ranges,llava_7b_standard,wine glass,temperature,temperature,kelvin
393,ranges,llava_7b_standard,wine glass_monetary,value,value,US dollars
394,ranges,llava_7b_standard,wine glass_monetary,value,value,euros
395,ranges,llava_7b_standard,wine glass_monetary,value,value,pounds
