object_name,object_description,url,n_boxes,len_min,len_max,len_mean,len_std,wid_min,wid_max,wid_mean,wid_std,hei_min,hei_max,hei_mean,hei_std,properties
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,https://behavior.stanford.edu/knowledgebase/synsets/apple.n.01/index.html,13,0.04,0.13,0.08,0.023533936216582084,0.04,0.11,0.07615384615384616,0.019029718272081508,0.04,0.11,0.07461538461538463,0.017371676600978794,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
backpack,a bag carried by a strap on your back or shoulder,https://behavior.stanford.edu/knowledgebase/synsets/backpack.n.01/,1,0.49,0.49,0.49,0.0,0.4,0.4,0.4,0.0,0.47,0.47,0.47,0.0,disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;openable;particleRemover;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
suitcase,a portable rectangular container for carrying clothes,https://behavior.stanford.edu/knowledgebase/synsets/bag.n.06/index.html,4,0.41,0.43,0.415,0.008660254037844395,0.61,0.62,0.6124999999999999,0.004330127018922197,0.2,0.22,0.215,0.008660254037844383,disinfectable;dustyable;fillable;flammable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
sports ball,round object that is hit or thrown or kicked in games,https://behavior.stanford.edu/knowledgebase/synsets/ball.n.01/index.html,9,0.06,0.37,0.18,0.10263202878893768,0.06,0.35,0.17777777777777776,0.09863262676076509,0.06,1.43,0.29777777777777775,0.40775204278465815,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,https://behavior.stanford.edu/knowledgebase/synsets/banana.n.02/index.html,5,0.17,0.37,0.22400000000000003,0.0739188744503053,0.06,0.3,0.13199999999999998,0.08611620056644395,0.03,0.16,0.068,0.04791659420284376,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
baseball bat,an implement used in baseball by the batter,https://behavior.stanford.edu/knowledgebase/synsets/baseball_bat.n.01/index.html,2,0.75,0.81,0.78,0.030000000000000027,0.05,0.07,0.060000000000000005,0.010000000000000002,0.05,0.07,0.060000000000000005,0.010000000000000002,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
baseball glove,the handwear used by fielders in playing baseball,https://behavior.stanford.edu/knowledgebase/synsets/baseball_glove.n.01/index.html,1,0.33,0.33,0.33,0.0,0.24,0.24,0.24,0.0,0.1,0.1,0.1,0.0,deformable;disinfectable;dustyable;grassyable;moldyable;nonSubstance;particleRemover;rustable;scratchable;softBody;stainable;stickyable;tarnishable;wetable;wrinkleable
bed,a piece of furniture that provides a place to sleep,https://behavior.stanford.edu/knowledgebase/synsets/bed.n.01/index.html,30,1.66,2.39,2.089,0.15524926194134817,0.69,3.79,1.616,0.6503465742714931,0.6,2.5,1.0333333333333332,0.4030825666728289,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
bench,a long seat for more than one person,https://behavior.stanford.edu/knowledgebase/synsets/bench.n.01/,29,0.25,4.61,1.116206896551724,1.1732842610355843,0.98,9.15,2.677586206896552,1.9117921817019354,0.35,1.67,0.8258620689655172,0.32282713684784087,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,https://behavior.stanford.edu/knowledgebase/synsets/bicycle.n.01/,2,1.73,1.73,1.73,0.0,1.04,1.06,1.05,0.010000000000000009,0.4,0.41,0.405,0.004999999999999977,attachable;disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
boat,a small vessel for travel on water,https://behavior.stanford.edu/knowledgebase/synsets/boat.n.01/,2,2.15,3.06,2.605,0.45500000000000007,0.77,0.79,0.78,0.010000000000000009,0.42,0.65,0.535,0.11500000000000002,disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
bottle,a glass or plastic vessel used for storing drinks or other liquids,https://behavior.stanford.edu/knowledgebase/synsets/bottle__of__water.n.01/index.html,15,0.05,0.11,0.07600000000000003,0.016653327995729064,0.05,0.11,0.07466666666666669,0.01627540748764494,0.15,0.36,0.2446666666666667,0.07319987856699095,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
bowl,a round vessel that is open at the top and is used chiefly for holding food or liquids,https://behavior.stanford.edu/knowledgebase/synsets/bowl.n.01/index.html,47,0.09,0.49,0.18638297872340429,0.07793684109352808,0.09,0.44,0.1917021276595745,0.07926038824286212,0.03,0.18,0.07957446808510636,0.03637613473018479,breakable;disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
dining table,a table at which meals are served,https://behavior.stanford.edu/knowledgebase/synsets/breakfast_table.n.01/index.html,32,0.49,1.5,0.7946875,0.21533381607111782,0.7,3.5,1.4834375,0.6823516751600672,0.29,1.05,0.6428125,0.1825211353343771,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
broccoli,plant with dense clusters of tight green flower buds,https://behavior.stanford.edu/knowledgebase/synsets/broccoli.n.02/index.html,1,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.0,0.02,0.02,0.02,0.0,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
cake,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat",https://behavior.stanford.edu/knowledgebase/synsets/cake.n.03/,72,0.01,0.28,0.09180555555555557,0.053575657534433614,0.03,0.28,0.10541666666666667,0.0713352316725598,0.0,0.12,0.034583333333333334,0.028622907492659326,No properties found
car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,https://behavior.stanford.edu/knowledgebase/synsets/car.n.01/,2,5.05,5.05,5.05,0.0,2.15,2.15,2.15,0.0,1.54,1.54,1.54,0.0,attachable;disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;openable;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
carrot,deep orange edible root of the cultivated carrot plant,https://behavior.stanford.edu/knowledgebase/synsets/carrot.n.03/index.html,3,0.09,0.25,0.17333333333333334,0.06548960901462833,0.03,0.04,0.03333333333333333,0.0047140452079103175,0.02,0.04,0.03,0.008164965809277261,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
chair,"a seat for one person, with a support for the back",https://behavior.stanford.edu/knowledgebase/synsets/chair.n.01/,176,0.29,1.33,0.6294886363636363,0.15750277734334645,0.28,1.85,0.6044886363636364,0.1827839319523428,0.37,1.3,0.8521022727272727,0.13207956794130568,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
clock,a timepiece that shows the time of day,https://behavior.stanford.edu/knowledgebase/synsets/clock.n.01/,14,0.02,0.27,0.11285714285714288,0.09602295643889178,0.11,0.62,0.33999999999999997,0.16261259835220992,0.05,0.96,0.4271428571428571,0.26847262620313483,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
book,a written work or composition that has been published (printed on pages bound together),https://behavior.stanford.edu/knowledgebase/synsets/comic_book.n.01/index.html,5,0.19,0.2,0.192,0.0040000000000000036,0.13,0.13,0.13,0.0,0.02,0.02,0.02,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
cup,a small open container usually used for drinking,https://behavior.stanford.edu/knowledgebase/synsets/cup.n.01/,36,0.05,0.19,0.0963888888888889,0.026786478531131436,0.05,0.19,0.08611111111111111,0.027312774562848568,0.04,0.21,0.08805555555555555,0.03510456162542954,disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
donut,a small ring-shaped friedcake,https://behavior.stanford.edu/knowledgebase/synsets/doughnut.n.02/index.html,2,0.07,0.1,0.085,0.015,0.07,0.1,0.085,0.015,0.03,0.05,0.04,0.010000000000000002,cookable;deformable;disinfectable;dustyable;flammable;freezable;grassyable;heatable;moldyable;nonSubstance;rustable;scratchable;sliceable;softBody;stainable;stickyable;tarnishable;wetable;wrinkleable
refrigerator,white goods in which food can be stored at low temperatures,https://behavior.stanford.edu/knowledgebase/synsets/electric_refrigerator.n.01/index.html,14,0.45,0.93,0.6621428571428573,0.11971266620111504,0.36,1.79,0.7935714285714285,0.3711296874381773,0.9,2.23,1.629285714285714,0.46692710177001606,coldSource;disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;openable;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
fork,cutlery used for serving and eating food,https://behavior.stanford.edu/knowledgebase/synsets/fork.n.01/,10,0.15,0.45,0.244,0.09572878355019455,0.02,0.04,0.031999999999999994,0.007483314773547884,0.0,0.03,0.015,0.00806225774829855,disinfectable;dustyable;grassyable;mixingTool;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
remote,a device that can be used to control a machine or apparatus from a distance,https://behavior.stanford.edu/knowledgebase/synsets/gaming_controller.n.01/index.html,1,0.12,0.12,0.12,0.0,0.18,0.18,0.18,0.0,0.06,0.06,0.06,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
hair drier,a hand-held electric blower that can blow warm air onto the hair and is used for styling hair,https://behavior.stanford.edu/knowledgebase/synsets/hand_blower.n.01/index.html,2,0.18,0.26,0.22,0.04000000000000001,0.18,0.25,0.215,0.035,0.06,0.11,0.08499999999999999,0.025,disinfectable;dustyable;grassyable;heatSource;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
hot dog,a frankfurter served hot on a bun,https://behavior.stanford.edu/knowledgebase/synsets/hotdog.n.02/index.html,1,0.08,0.08,0.08,0.0,0.16,0.16,0.16,0.0,0.05,0.05,0.05,0.0,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
keyboard,device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like,https://behavior.stanford.edu/knowledgebase/synsets/keyboard.n.01/index.html,10,0.12,0.18,0.14400000000000002,0.023748684174075836,0.34,0.5,0.44800000000000006,0.04467661580737735,0.02,0.03,0.023,0.00458257569495584,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
knife,edge tool used as a cutting instrument that has a pointed blade with a sharp edge and a handle,https://behavior.stanford.edu/knowledgebase/synsets/knife.n.01/,22,0.14,0.38,0.2590909090909091,0.06741385687804514,0.01,0.08,0.03545454545454546,0.016983219720244913,0.0,0.03,0.014545454545454549,0.007820295697311479,disinfectable;dustyable;grassyable;mixingTool;moldyable;nonSubstance;rigidBody;rustable;scratchable;slicer;stainable;stickyable;tarnishable;wetable;wrinkleable
laptop,a portable computer small enough to use in your lap,https://behavior.stanford.edu/knowledgebase/synsets/laptop.n.01/index.html,6,0.2,0.32,0.24666666666666667,0.037267799624996496,0.27,0.45,0.34166666666666673,0.057276134258131946,0.02,0.04,0.03166666666666667,0.006871842709362769,disinfectable;dustyable;grassyable;moldyable;nonSubstance;openable;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
microwave,kitchen appliance that cooks food by passing an electromagnetic wave through it,https://behavior.stanford.edu/knowledgebase/synsets/microwave.n.02/index.html,7,0.26,0.42,0.3514285714285714,0.05890150893739514,0.4,0.52,0.48142857142857143,0.04911460982191739,0.26,0.31,0.29000000000000004,0.016903085094570322,disinfectable;dustyable;fillable;freezable;grassyable;heatSource;heatable;moldyable;nonSubstance;openable;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
motorcycle,a motor vehicle with two wheels and a strong frame,https://behavior.stanford.edu/knowledgebase/synsets/motorcycle.n.01/,1,2.2,2.2,2.2,0.0,0.88,0.88,0.88,0.0,1.34,1.34,1.34,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
mouse,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad,https://behavior.stanford.edu/knowledgebase/synsets/mouse.n.04/index.html,9,0.03,0.13,0.10777777777777778,0.02819683897877671,0.02,0.07,0.05777777777777778,0.014740554623801777,0.01,0.04,0.03333333333333333,0.009428090415820633,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,https://behavior.stanford.edu/knowledgebase/synsets/necktie.n.01/index.html,1,0.36,0.36,0.36,0.0,0.11,0.11,0.11,0.0,0.1,0.1,0.1,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;particleRemover;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
orange,round yellow to orange fruit of any of several citrus trees,https://behavior.stanford.edu/knowledgebase/synsets/orange.n.01/index.html,3,0.08,0.11,0.09333333333333334,0.012472191289246471,0.09,0.11,0.09666666666666668,0.009428090415820637,0.08,0.11,0.09333333333333334,0.012472191289246471,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
oven,kitchen appliance used for baking or roasting,https://behavior.stanford.edu/knowledgebase/synsets/oven.n.01/index.html,16,0.39,0.94,0.548125,0.12981808184917845,0.45,0.84,0.565,0.09905806378079474,0.49,1.67,0.73875,0.31058161165787,disinfectable;dustyable;fillable;freezable;grassyable;heatSource;heatable;moldyable;nonSubstance;openable;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,https://behavior.stanford.edu/knowledgebase/synsets/pizza.n.01/index.html,1,0.47,0.47,0.47,0.0,0.47,0.47,0.47,0.0,0.02,0.02,0.02,0.0,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
potted plant,a plant suitable for growing in a flowerpot (especially indoors),https://behavior.stanford.edu/knowledgebase/synsets/pot_plant.n.01/index.html,72,0.07,1.69,0.5318055555555555,0.35950709461740377,0.08,1.76,0.5558333333333334,0.3868237827343206,0.11,2.65,0.7015277777777779,0.5221607344120471,disinfectable;dustyable;flammable;grassyable;moldyable;nonSubstance;particleRemover;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
sandwich,two (or more) slices of bread with a filling between them,https://behavior.stanford.edu/knowledgebase/synsets/sandwich.n.01/,12,0.08,0.21,0.1166666666666667,0.0392286743197994,0.05,0.2,0.11416666666666668,0.056192872224944054,0.05,0.09,0.06833333333333334,0.012133516482134196,No properties found
scissors,an edge tool having two crossed pivoting blades,https://behavior.stanford.edu/knowledgebase/synsets/scissors.n.01/,2,0.09,0.13,0.11,0.020000000000000004,0.01,0.05,0.030000000000000002,0.02,0.0,0.02,0.01,0.01,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe,https://behavior.stanford.edu/knowledgebase/synsets/sink.n.01/,31,0.33,0.85,0.5667741935483871,0.12054679446840426,0.32,3.81,1.3054838709677419,0.86188031019086,0.22,1.38,0.7803225806451612,0.3503499068532057,disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;particleSink;particleSource;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;toggleable;waterSource;wetable;wrinkleable
skateboard,a board with wheels that is ridden in a standing or crouching position and propelled by foot,https://behavior.stanford.edu/knowledgebase/synsets/skateboard.n.01/,1,0.33,0.33,0.33,0.0,1.04,1.04,1.04,0.0,0.15,0.15,0.15,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
skis,narrow wood or metal or plastic runners used in pairs for gliding over snow,https://behavior.stanford.edu/knowledgebase/synsets/ski.n.01/index.html,2,2.67,2.67,2.67,0.0,0.18,0.18,0.18,0.0,0.08,0.08,0.08,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
couch,an upholstered seat for more than one person,https://behavior.stanford.edu/knowledgebase/synsets/sofa.n.01/index.html,35,0.75,4.5,1.6340000000000001,1.0282778946235442,1.07,4.76,2.6517142857142852,0.961024708213019,0.59,0.93,0.7934285714285715,0.10065337570502209,disinfectable;dustyable;grassyable;moldyable;nonSubstance;particleRemover;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle that is used to stir or serve or take up food,https://behavior.stanford.edu/knowledgebase/synsets/spoon.n.01/,27,0.06,0.31,0.17592592592592593,0.06573004607845635,0.02,0.07,0.040370370370370376,0.01621190268758466,0.0,0.05,0.016296296296296295,0.009087291960285404,disinfectable;dustyable;grassyable;mixingTool;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
teddy bear,plaything consisting of a child's toy bear (usually plush and stuffed with soft materials),https://behavior.stanford.edu/knowledgebase/synsets/teddy.n.01/index.html,5,0.15,0.47,0.31,0.12083045973594571,0.11,0.37,0.254,0.10442221985765289,0.09,0.33,0.20800000000000002,0.10127191120937731,deformable;disinfectable;dustyable;grassyable;moldyable;nonSubstance;particleRemover;rustable;scratchable;softBody;stainable;stickyable;tarnishable;wetable;wrinkleable
cell phone,telephony that uses transmission by radio rather than by wire,https://behavior.stanford.edu/knowledgebase/synsets/telephone.n.01/,6,0.14,0.47,0.28333333333333327,0.12050818321683478,0.08,0.33,0.25,0.08164965809277261,0.01,0.69,0.21999999999999997,0.2208317610006918,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
TV,an electronic device that receives television signals and displays them on a screen,https://behavior.stanford.edu/knowledgebase/synsets/television_receiver.n.01/,29,0.02,0.4,0.12965517241379312,0.09282845723831748,0.54,5.16,1.247241379310345,0.8537095385544121,0.37,3.53,0.8020689655172413,0.5611219015037692,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
tennis racket,a racket used to play tennis,https://behavior.stanford.edu/knowledgebase/synsets/tennis_racket.n.01/index.html,1,0.82,0.82,0.82,0.0,0.34,0.34,0.34,0.0,0.03,0.03,0.03,0.0,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
toaster,a kitchen appliance (usually electric) for toasting bread,https://behavior.stanford.edu/knowledgebase/synsets/toaster.n.02/index.html,1,0.28,0.28,0.28,0.0,0.15,0.15,0.15,0.0,0.17,0.17,0.17,0.0,disinfectable;dustyable;grassyable;heatSource;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;toggleable;wetable;wrinkleable
toilet,a plumbing fixture for defecation and urination,https://behavior.stanford.edu/knowledgebase/synsets/toilet.n.02/index.html,19,0.54,0.68,0.5957894736842105,0.038704792233368944,0.3,0.42,0.3842105263157894,0.029614326098179367,0.33,0.93,0.6021052631578947,0.13060905696686143,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
toothbrush,small brush that  has long handle and is used to clean teeth,https://behavior.stanford.edu/knowledgebase/synsets/toothbrush.n.01/index.html,4,0.11,0.17,0.14250000000000002,0.02165063509461097,0.01,0.01,0.01,0.0,0.01,0.02,0.0175,0.004330127018922193,disinfectable;dustyable;grassyable;moldyable;nonSubstance;particleRemover;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
truck,an automotive vehicle suitable for hauling,https://behavior.stanford.edu/knowledgebase/synsets/truck.n.01/,3,4.87,10.56,7.390000000000001,2.3679667790462493,1.69,3.03,2.4966666666666666,0.5801915392542554,1.67,3.54,2.6933333333333334,0.7735775476461441,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
umbrella,a lightweight handheld collapsible canopy,https://behavior.stanford.edu/knowledgebase/synsets/umbrella.n.01/,5,0.5,1.03,0.798,0.18475930287809597,0.07,0.18,0.11200000000000002,0.041182520563948,0.07,0.1,0.07800000000000001,0.0116619037896906,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
vase,an open jar of glass or porcelain used as an ornament or to hold flowers,https://behavior.stanford.edu/knowledgebase/synsets/vase.n.01/index.html,42,0.05,0.53,0.16642857142857143,0.11879998053093131,0.05,0.53,0.16547619047619047,0.11950697092543698,0.09,1.5,0.29523809523809524,0.28528380268175474,breakable;disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
wine glass,a glass that has a stem and in which wine is served,https://behavior.stanford.edu/knowledgebase/synsets/wineglass.n.01/index.html,17,0.05,0.15,0.08529411764705883,0.028925390242692344,0.05,0.15,0.08529411764705883,0.028925390242692344,0.12,0.25,0.1670588235294118,0.033565512041616716,breakable;disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
