object_name,object_description,Size-w,Size-l,Size-h,Source,Category
person,a human being,1.19,0.26,1.74,https://behavior.stanford.edu/knowledgebase/objects/nphsfp/,
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,0.41,1.73,1.06,,https://behavior.stanford.edu/knowledgebase/synsets/bicycle.n.01/
car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,2.15,5.05,1.54,,https://behavior.stanford.edu/knowledgebase/synsets/car.n.01/
motorcycle,a motor vehicle with two wheels and a strong frame,0.88,2.2,1.34,,https://behavior.stanford.edu/knowledgebase/synsets/motorcycle.n.01/
airplane,an aircraft that has a fixed wing and is powered by propellers or jets,-,-,-,,-
bus,a vehicle carrying many passengers and used for public transport,-,-,-,,-
train,public transport provided by a line of railway cars coupled together and drawn by a locomotive,-,-,-,,-
truck,an automotive vehicle suitable for hauling,2.77,6.74,3.54,,https://behavior.stanford.edu/knowledgebase/synsets/truck.n.01/
boat,a small vessel for travel on water,,,,,https://behavior.stanford.edu/knowledgebase/synsets/boat.n.01/
traffic light,a visual signal to control the flow of traffic at intersections,,,,,-
fire hydrant,an upright hydrant for drawing water to use in fighting a fire,,,,,-
stop sign,a sign visible from the street,,,,,-
parking meter,a coin-operated timer located next to a parking space,,,,,-
bench,a long seat for more than one person,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bench.n.01/
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,,,,,-
cat,feline mammal usually having thick soft fur and no ability to roar: domestic cats,,,,,-
dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times,,,,,-
horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times,,,,,-
sheep,woolly usually horned ruminant mammal related to the goat,,,,,-
cow,female of domestic cattle,,,,,-
elephant,five-toed animal with a long trunk,,,,,-
bear,"Large, heavy-bodied mammals that walk flat-footed, covered in thick fur and equipped with powerful claws; most species are omnivores.",,,,,-
zebra,any of several fleet black-and-white striped African equines,,,,,-
giraffe,"tallest living quadruped which has a spotted coat and small horns and very long neck and legs
 Of savannahs of tropical Africa
",,,,,-
backpack,a bag carried by a strap on your back or shoulder,,,,,https://behavior.stanford.edu/knowledgebase/synsets/backpack.n.01/
umbrella,a lightweight handheld collapsible canopy,,,,,https://behavior.stanford.edu/knowledgebase/synsets/umbrella.n.01/
handbag,a container used for carrying money and small personal items or accessories (especially by women),,,,,-
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,,,,,https://behavior.stanford.edu/knowledgebase/synsets/necktie.n.01/index.html
suitcase,a portable rectangular container for carrying clothes,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bag.n.06/index.html
frisbee,"a light, plastic disk about 10 inches in diameter; propelled with a flip of the wrist for recreation or competition",,,,,-
skis,narrow wood or metal or plastic runners used in pairs for gliding over snow,,,,,https://behavior.stanford.edu/knowledgebase/synsets/ski.n.01/index.html
snowboard,a board that resembles a broad ski or a small surfboard and is used in a standing position to slide down snow-covered slopes,,,,,-
sports ball,round object that is hit or thrown or kicked in games,,,,,https://behavior.stanford.edu/knowledgebase/synsets/ball.n.01/index.html
kite,plaything consisting of a light frame covered with tissue paper that is flown in wind at end of a string,,,,,-
baseball bat,an implement used in baseball by the batter,,,,,https://behavior.stanford.edu/knowledgebase/synsets/baseball_bat.n.01/index.html
baseball glove,the handwear used by fielders in playing baseball,,,,,https://behavior.stanford.edu/knowledgebase/synsets/baseball_glove.n.01/index.html
skateboard,a board with wheels that is ridden in a standing or crouching position and propelled by foot,,,,,https://behavior.stanford.edu/knowledgebase/synsets/skateboard.n.01/
surfboard,a narrow buoyant board for riding surf,,,,,-
tennis racket,a racket used to play tennis,,,,,https://behavior.stanford.edu/knowledgebase/synsets/tennis_racket.n.01/index.html
bottle,a glass or plastic vessel used for storing drinks or other liquids,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bottle__of__water.n.01/index.html
wine glass,a glass that has a stem and in which wine is served,,,,,https://behavior.stanford.edu/knowledgebase/synsets/wineglass.n.01/index.html
cup,a small open container usually used for drinking,,,,,https://behavior.stanford.edu/knowledgebase/synsets/cup.n.01/
fork,cutlery used for serving and eating food,,,,,https://behavior.stanford.edu/knowledgebase/synsets/fork.n.01/
knife,edge tool used as a cutting instrument that has a pointed blade with a sharp edge and a handle,,,,,https://behavior.stanford.edu/knowledgebase/synsets/knife.n.01/
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle that is used to stir or serve or take up food,,,,,https://behavior.stanford.edu/knowledgebase/synsets/spoon.n.01/
bowl,a round vessel that is open at the top and is used chiefly for holding food or liquids,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bowl.n.01/index.html
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,,,,,https://behavior.stanford.edu/knowledgebase/synsets/banana.n.02/index.html
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,0.09,0.07,0.07,,https://behavior.stanford.edu/knowledgebase/synsets/apple.n.01/index.html
sandwich,two (or more) slices of bread with a filling between them,,,,,https://behavior.stanford.edu/knowledgebase/synsets/sandwich.n.01/
orange,round yellow to orange fruit of any of several citrus trees,,,,,https://behavior.stanford.edu/knowledgebase/synsets/orange.n.01/index.html
broccoli,plant with dense clusters of tight green flower buds,,,,,https://behavior.stanford.edu/knowledgebase/synsets/broccoli.n.02/index.html
carrot,deep orange edible root of the cultivated carrot plant,,,,,https://behavior.stanford.edu/knowledgebase/synsets/carrot.n.03/index.html
hot dog,a frankfurter served hot on a bun,,,,,https://behavior.stanford.edu/knowledgebase/synsets/hotdog.n.02/index.html
pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,,,,,https://behavior.stanford.edu/knowledgebase/synsets/pizza.n.01/index.html
donut,a small ring-shaped friedcake,,,,,https://behavior.stanford.edu/knowledgebase/synsets/doughnut.n.02/index.html
cake,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat",,,,,https://behavior.stanford.edu/knowledgebase/synsets/cake.n.03/
chair,"a seat for one person, with a support for the back",,,,,https://behavior.stanford.edu/knowledgebase/synsets/chair.n.01/
couch,an upholstered seat for more than one person,,,,,https://behavior.stanford.edu/knowledgebase/synsets/sofa.n.01/index.html
potted plant,a plant suitable for growing in a flowerpot (especially indoors),,,,,https://behavior.stanford.edu/knowledgebase/synsets/pot_plant.n.01/index.html
bed,a piece of furniture that provides a place to sleep,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bed.n.01/index.html
dining table,a table at which meals are served,,,,,https://behavior.stanford.edu/knowledgebase/synsets/breakfast_table.n.01/index.html
toilet,a plumbing fixture for defecation and urination,,,,,https://behavior.stanford.edu/knowledgebase/synsets/toilet.n.02/index.html
TV,an electronic device that receives television signals and displays them on a screen,,,,,https://behavior.stanford.edu/knowledgebase/synsets/television_receiver.n.01/
laptop,a portable computer small enough to use in your lap,,,,,https://behavior.stanford.edu/knowledgebase/synsets/laptop.n.01/index.html
mouse,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad,,,,,https://behavior.stanford.edu/knowledgebase/synsets/mouse.n.04/index.html
remote,a device that can be used to control a machine or apparatus from a distance,,,,,https://behavior.stanford.edu/knowledgebase/synsets/gaming_controller.n.01/index.html
keyboard,device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like,,,,,https://behavior.stanford.edu/knowledgebase/synsets/keyboard.n.01/index.html
cell phone,telephony that uses transmission by radio rather than by wire,,,,,https://behavior.stanford.edu/knowledgebase/synsets/telephone.n.01/
microwave,kitchen appliance that cooks food by passing an electromagnetic wave through it,,,,,https://behavior.stanford.edu/knowledgebase/synsets/microwave.n.02/index.html
oven,kitchen appliance used for baking or roasting,,,,,https://behavior.stanford.edu/knowledgebase/synsets/oven.n.01/index.html
toaster,a kitchen appliance (usually electric) for toasting bread,,,,,https://behavior.stanford.edu/knowledgebase/synsets/toaster.n.02/index.html
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe,,,,,https://behavior.stanford.edu/knowledgebase/synsets/sink.n.01/
refrigerator,white goods in which food can be stored at low temperatures,,,,,https://behavior.stanford.edu/knowledgebase/synsets/electric_refrigerator.n.01/index.html
book,a written work or composition that has been published (printed on pages bound together),,,,,https://behavior.stanford.edu/knowledgebase/synsets/comic_book.n.01/index.html
clock,a timepiece that shows the time of day,,,,,https://behavior.stanford.edu/knowledgebase/synsets/clock.n.01/
vase,an open jar of glass or porcelain used as an ornament or to hold flowers,,,,,https://behavior.stanford.edu/knowledgebase/synsets/vase.n.01/index.html
scissors,an edge tool having two crossed pivoting blades,,,,,https://behavior.stanford.edu/knowledgebase/synsets/scissors.n.01/
teddy bear,plaything consisting of a child's toy bear (usually plush and stuffed with soft materials),,,,,https://behavior.stanford.edu/knowledgebase/synsets/teddy.n.01/index.html
hair drier,a hand-held electric blower that can blow warm air onto the hair and is used for styling hair,,,,,https://behavior.stanford.edu/knowledgebase/synsets/hand_blower.n.01/index.html
toothbrush,small brush that  has long handle and is used to clean teeth,,,,,https://behavior.stanford.edu/knowledgebase/synsets/toothbrush.n.01/index.html
